"Notes"	"State"	"State Code"	"County"	"County Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Cause of death"	"Cause of death Code"	Deaths
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	20
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	260
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Ischaemic cardiomyopathy"	"I25.5"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	47
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Dilated cardiomyopathy"	"I42.0"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Cardiac arrest, unspecified"	"I46.9"	21
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Cardiac arrhythmia, unspecified"	"I49.9"	23
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Congestive heart failure"	"I50.0"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Heart failure, unspecified"	"I50.9"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Cardiomegaly"	"I51.7"	14
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	14
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Peripheral vascular disease, unspecified"	"I73.9"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	36
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	66
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pneumonitis due to food and vomit"	"J69.0"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Vascular disorder of intestine, unspecified"	"K55.9"	13
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Alcoholic cirrhosis of liver"	"K70.3"	36
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Other and unspecified cirrhosis of liver"	"K74.6"	34
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Gastrointestinal haemorrhage, unspecified"	"K92.2"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Chronic kidney disease, stage 5"	"N18.5"	22
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Other ill-defined and unspecified causes of mortality"	"R99"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"COVID-19"	"U07.1"	94
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	92
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	30
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	31
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	27
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	47
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	11
	"New York"	"36"	"Allegany County, NY"	"36003"	"Female"	"F"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	12
	"New York"	"36"	"Allegany County, NY"	"36003"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	34
	"New York"	"36"	"Allegany County, NY"	"36003"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	23
	"New York"	"36"	"Allegany County, NY"	"36003"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	12
	"New York"	"36"	"Allegany County, NY"	"36003"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	25
	"New York"	"36"	"Allegany County, NY"	"36003"	"Female"	"F"	"White"	"2106-3"	"COVID-19"	"U07.1"	26
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	42
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	20
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	14
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	64
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	20
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	12
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	36
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"COVID-19"	"U07.1"	51
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15
	"New York"	"36"	"Allegany County, NY"	"36003"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	17
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Asian"	"A"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Asian"	"A"	"Atherosclerotic heart disease"	"I25.1"	12
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Asian"	"A"	"COVID-19"	"U07.1"	35
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Enterocolitis due to Clostridium difficile"	"A04.7"	13
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Septicaemia, unspecified"	"A41.9"	75
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Chronic viral hepatitis C"	"B18.2"	12
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"HIV disease resulting in other bacterial infections"	"B20.1"	19
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"HIV disease resulting in multiple infections"	"B20.7"	14
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	15
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"HIV disease resulting in other specified conditions"	"B23.8"	19
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	12
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Coronavirus infection, unspecified"	"B34.2"	16
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	11
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	17
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	76
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	20
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	28
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	10
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of gallbladder"	"C23"	12
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	87
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	180
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	244
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	37
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Endometrium - Malignant neoplasms"	"C54.1"	66
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of uterus, part unspecified"	"C55"	73
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of ovary"	"C56"	54
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	14
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	24
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm without specification of site"	"C80"	50
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	31
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	12
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Sickle-cell anaemia without crisis"	"D57.1"	12
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	17
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	24
	"New York"	"36"	"Bronx County, NY"	"36005"	"Female"	"F"	"Black or African American"	"2054-5"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	50
